hidden_layer_sizes,activation,learning_rate,lam,alpha,tol,batch_size,shuffle,max_iter,score
"[64, 64]",relu,0.003,0.0,0.9,1e-05,32,True,3000,1.15422441411603
"[32, 32]",relu,0.01,5e-05,0.7,1e-05,64,True,3000,1.155416632414338
"[32, 32]",relu,0.01,0.0,0.9,1e-05,64,True,3000,1.156925916073269
"[32, 32]",relu,0.05,5e-05,0.9,1e-05,64,False,3000,1.1578269234780056
"[32, 32]",relu,0.1,5e-05,0.0,1e-05,64,True,3000,1.1579588510623413
"[32, 32]",relu,0.01,0.0,0.0,1e-05,64,False,3000,1.1605041199516288
"[64, 64]",relu,0.1,5e-05,0.9,1e-05,32,True,3000,1.1607364165372758
"[32, 32]",relu,0.1,5e-05,0.7,1e-05,64,True,3000,1.1613024736370303
"[64, 64]",relu,0.01,0.0001,0.9,1e-05,32,True,3000,1.1614022832599598
"[32, 32]",relu,0.003,0.0,0.7,1e-05,32,True,3000,1.1624604344085785
"[64, 64]",relu,0.003,0.0,0.7,1e-05,64,False,3000,1.163631455424823
"[64, 64]",relu,0.003,0.0,0.9,1e-05,64,False,3000,1.1642262403543604
"[64, 64]",relu,0.05,5e-05,0.7,1e-05,32,False,3000,1.16427846503109
"[64, 64]",relu,0.01,0.0,0.7,1e-05,64,True,3000,1.1645939773472844
"[64, 64]",relu,0.1,5e-05,0.0,1e-05,32,False,3000,1.1658546189262902
"[64, 64]",relu,0.01,5e-05,0.0,1e-05,32,True,3000,1.1675168772171518
"[64, 64]",relu,0.01,0.0001,0.9,1e-05,32,False,3000,1.167712208271722
"[32, 32]",relu,0.01,0.0001,0.9,1e-05,32,False,3000,1.167865681548542
"[64, 64]",relu,0.01,0.0,0.0,1e-05,32,True,3000,1.1684861229081174
"[64, 64]",relu,0.003,0.0,0.7,1e-05,32,False,3000,1.1700937742523
"[32, 32]",relu,0.01,0.0,0.0,1e-05,32,False,3000,1.1703984669938596
"[32, 32]",relu,0.01,0.0,0.0,1e-05,64,True,3000,1.17064879156661
"[64, 64]",relu,0.003,0.0,0.9,1e-05,64,True,3000,1.1718730574456024
"[32, 32]",relu,0.01,0.0,0.9,1e-05,32,True,3000,1.1728273077256834
"[32, 32]",relu,0.003,0.0,0.9,1e-05,32,False,3000,1.1729481269256554
"[32, 32]",relu,0.05,5e-05,0.9,1e-05,32,False,3000,1.1735848356939729
"[32, 32]",relu,0.1,5e-05,0.9,1e-05,64,True,3000,1.1746127237142097
"[64, 64]",relu,0.1,5e-05,0.9,1e-05,32,False,3000,1.1753979880640832
"[32, 32]",relu,0.1,5e-05,0.9,1e-05,32,False,3000,1.1754302457678376
"[32, 32]",relu,0.003,0.0,0.9,1e-05,64,True,3000,1.1798048552770162
"[32, 32]",relu,0.01,0.0,0.0,1e-05,32,True,3000,1.180146401376503
"[32, 32]",relu,0.01,5e-05,0.0,1e-05,32,True,3000,1.1804173016115984
"[64, 64]",relu,0.003,0.0,0.0,1e-05,64,False,3000,1.1811883011633562
"[64, 64]",relu,0.1,5e-05,0.7,1e-05,32,False,3000,1.1822167137608048
"[32, 32]",relu,0.01,0.0001,0.9,1e-05,32,True,3000,1.1823606751704672
